Source,Target
Pathfinder Beginner Box,Pathfinder新手包
Pirate King's Plunder,海贼王的财宝
Introduction,介绍
Scratch Paper,草稿纸
Combat Reference,战斗参考
Adventure Steps,冒险步骤
Menace Under Otari,奥塔里地下的威胁
Floor 1,第一层
01: Hungry Rats,01: 饥饿的巨鼠
02. Drop into Darkness,02. 深入黑暗
03. The Spider's Web,03. 蛛网
04. The Barricade,04. 路障
05. Forgotten Crypt,05. 被遗忘的墓穴
06. Forgotten Shrine,06. 被遗忘的神龛
07. Abandoned Storeroom,07. 废弃储藏室
08. Trapped Hallway,08. 陷阱走廊
09. Gold Puzzle,09. 金币谜题
10. Abadar's Vault,10. 阿巴达尔的宝库
11. Kobolds and Traps,11. 狗头人和陷阱
Floor 1 (Original),第一层（原版）
Floor 2,第二层
12. Kobold Lookouts,12. 还是狗头人和陷阱
13. Soggy Crossroads,13. 浸水的路口
14. Elements of Chaos,14. 混乱的元素
15. Xulgath Cave,15. 地蜥人洞穴
16. Mermaid Fountain,16. 美人鱼喷泉
17. Kobold Warren,17. 狗头人宿舍
18. Dragonkeeper,18. 守龙者
19. Mushroom Grotto,19. 蘑菇洞穴
Floor 2 (Original),第二层（原版）
Landing,首页
Otari,奥塔里
Exploration Loops,探索循环
Crypt Drone Loop,地穴杂音循环
The Occasional Rat,时有时无的老鼠动静
The Occasional Drip,时有时无的滴水声
Floor 1 Exploration Ambience,第一层探索环境音
Deeds Done In Darkness,黑暗中的行进
Floor 2 Exploration Ambience,第二层探索环境音
Drones In The Deep,地底的低吟
Floor 2 Mermaid Fountain,第二层美人鱼喷泉
The Mermaid Fountain Basin Loop,美人鱼喷泉区域循环
The Mermaid Fountain Loop,美人鱼喷泉循环
Floor 2 Soggy Crossroads,第二层浸水的路口
Watery Grave,水中坟墓
Otari Fishery,奥塔里渔场
Otari Wharf,奥塔里码头
The sounds of a seaside town.,海边小镇的声音。
Otari Seaside,奥塔里海滩
Soundboard Loops,音板循环
Zolgran Plotting,佐尔甘的阴谋
Muffled Chattering,窃窃私语
The Malevolent Dead,邪恶的死者
Irritated Xulgath Noises,恼怒的地蜥人吵闹声
Everything Is Fire,全都烧起来了
Dragon Soundboard,巨龙音板
Wyrmling Growl Distant 01,远方的雏龙咆哮 01
Wyrmling Growl Distant 02,远方的雏龙咆哮 02
Wyrmling Growl Distant 03,远方的雏龙咆哮 03
Wyrmling Growl 1,雏龙咆哮 1
Wyrmling Growl 2,雏龙咆哮 2
Wyrmling Growl 3,雏龙咆哮 3
Wyrmling Growl 4,雏龙咆哮 4
Wyrmling Breath Weapon 01,雏龙龙息 01
Wyrmling Breath Weapon 02,雏龙龙息 02
Wyrmling Breath Weapon 03,雏龙龙息 03
Kobold Trapmaster,狗头人陷阱大师
Central Spears,中间矛陷阱
Falling Ceiling,落石陷阱
Mermaid Fountain,美人鱼喷泉
Spike Trap,尖刺陷阱
Ezren,艾兹伦
Kyra,凯拉
Merisiel,梅瑞希尔
Valeros,瓦莱洛斯
